alpha,mean_err,std_err,mean_min_err,std_min_err
0,0.49729999999999996,0.017338108316653247,0.4766,0.010297572529484787
1,0.4963,0.014567429423202985,0.4772,0.011258774356030047
2,0.5048,0.016618062462272806,0.4832000000000001,0.014634206503941377
3,0.5019,0.011614215427655896,0.4708,0.009053176238205006
4,0.4923,0.010344563789740009,0.4749,0.008371977066380428
5,0.48630000000000007,0.011950313803411201,0.4741999999999999,0.010342146779078312
6,0.49709999999999993,0.021556669501571906,0.4716,0.00921086315173555
7,0.4915,0.017252536045463004,0.4734999999999999,0.011164676439557026
8,0.49559999999999993,0.01063202708800162,0.481,0.010917875251164942
9,0.49160000000000004,0.018890209104189398,0.4748,0.010787029248129429
10,0.4909,0.013209466302617984,0.47639999999999993,0.009971960689854314
11,0.4833,0.018931719414781105,0.4668,0.017887425751068817
12,0.48739999999999994,0.017951044537853494,0.4689000000000001,0.011352973178863753
13,0.4936999999999999,0.015575942989109842,0.47540000000000004,0.008428523002282187
14,0.4856000000000001,0.017223240113288792,0.4673,0.011941942890501519
15,0.4803,0.015225307878660445,0.4659,0.011622822376686298
16,0.4821,0.012872062771754959,0.4627,0.007590125163658361
17,0.4891,0.01315636727976229,0.4657,0.013748090776540564
18,0.4878,0.01171153277756589,0.4681,0.008227393268830641
19,0.4822,0.015367498169838838,0.46980000000000005,0.011097747519204053
20,0.48440000000000005,0.01293213052826178,0.4646,0.007158212067269292
21,0.48710000000000003,0.009523129737644036,0.4703999999999999,0.008639444426582054
22,0.4875,0.017258331321422706,0.47059999999999996,0.007499333303701054
23,0.4974,0.018488915598271323,0.4652,0.011373653766490334
24,0.4826,0.01623699479583583,0.4553,0.011958678856796849
25,0.4833,0.014332131732579075,0.46610000000000007,0.006891298861608007
26,0.4726000000000001,0.01009158064923428,0.45810000000000006,0.0035623026261113783
27,0.48469999999999996,0.010159232254457036,0.46499999999999997,0.008306623862918057
28,0.48299999999999993,0.023104112188093273,0.46130000000000004,0.008343260753446453
29,0.4817,0.010383159442096602,0.4603,0.007403377607551838
30,0.4835,0.01699558766268468,0.4565,0.010726136303441231
31,0.4751,0.01370729732660672,0.45949999999999996,0.008163945124754319
32,0.48339999999999994,0.0128,0.4615,0.009656603957913972
33,0.47520000000000007,0.01601124604770034,0.45840000000000003,0.01515387739161169
34,0.4715999999999999,0.008924124606929231,0.458,0.00861394218694321
35,0.4760000000000001,0.017193021840269954,0.45840000000000003,0.008558037158133863
36,0.47059999999999996,0.013016912076218372,0.45619999999999994,0.012064824905484535
37,0.48129999999999995,0.015671949463930773,0.46030000000000004,0.009889893831583823
38,0.4779,0.009544108130150237,0.4511,0.009627564593395371
39,0.47919999999999996,0.013687950905814934,0.44610000000000005,0.011466908912169844
40,0.47809999999999997,0.016664033125267118,0.46259999999999996,0.015717506163510787
41,0.4734,0.012932130528261759,0.4519,0.01523450031999737
42,0.4646,0.013807244475274552,0.45380000000000004,0.00894203556244327
43,0.47240000000000004,0.012908911650483931,0.4526,0.010613199329137289
44,0.46699999999999997,0.017595453958338204,0.44539999999999996,0.012001666550942008
45,0.47450000000000003,0.012076837334335497,0.4593999999999999,0.011019981851164717
46,0.46320000000000006,0.010380751417888774,0.4438,0.008986656775464397
47,0.4678,0.013941305534274749,0.4526,0.010883014288330233
